,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1303,營業收入淨額,86454.0,82220.0,81497.0,77862.0,74106.0,72676.0,72680.0,68901.0
1303,營業利益,8810.0,9065.0,7982.0,7691.0,5699.0,8478.0,3944.0,2439.0
1303,營業外收入及支出,11258.0,6169.0,12142.0,10942.0,5810.0,4033.0,24514.0,6625.0
1303,稅後淨利,16401.0,13356.0,17863.0,16562.0,8970.0,10546.0,15496.0,8147.0
1303,每股盈餘,2.1,1.7,2.26,2.1,1.14,1.37,3.36,1.06
1304,營業收入淨額,15662.0,14670.0,15267.0,15002.0,13962.0,13903.0,14371.0,12702.0
1304,營業利益,902.0,912.0,821.0,817.0,557.0,1184.0,871.0,629.0
1304,營業外收入及支出,292.0,89.0,51.0,179.0,144.0,-263.0,-31.0,-33.0
1304,稅後淨利,622.0,768.0,625.0,801.0,552.0,726.0,697.0,468.0
1304,每股盈餘,0.26,0.24,0.22,0.34,0.21,0.29,0.2,0.26
1305,營業收入淨額,3678.0,4144.0,3774.0,3614.0,3623.0,3691.0,3504.0,3360.0
1305,營業利益,523.0,656.0,457.0,303.0,312.0,579.0,709.0,380.0
1305,營業外收入及支出,11.0,26.0,15.0,4.0,15.0,-69.0,17.0,-44.0
1305,稅後淨利,429.0,564.0,381.0,287.0,263.0,437.0,621.0,298.0
1305,每股盈餘,0.76,1.1,0.74,0.56,0.51,0.79,1.21,0.6
1307,營業收入淨額,2072.0,2385.0,2202.0,2596.0,2356.0,2702.0,2761.0,2700.0
1307,營業利益,15.0,157.0,153.0,276.0,317.0,493.0,355.0,411.0
1307,營業外收入及支出,67.0,-26.0,-11.0,-12.0,19.0,-86.0,20.0,-38.0
1307,稅後淨利,61.0,103.0,109.0,211.0,253.0,337.0,304.0,303.0
1307,每股盈餘,0.15,0.26,0.27,0.52,0.63,0.84,0.76,0.76
1308,營業收入淨額,1635.0,1326.0,1596.0,1711.0,1566.0,1531.0,1769.0,1445.0
1308,營業利益,9.0,27.0,96.0,90.0,110.0,175.0,206.0,95.0
1308,營業外收入及支出,89.0,59.0,8.0,78.0,99.0,-1.0,54.0,73.0
1308,稅後淨利,83.0,80.0,94.0,158.0,183.0,147.0,224.0,147.0
1308,每股盈餘,0.14,0.16,0.17,0.29,0.34,0.3,0.44,0.3
1309,營業收入淨額,5946.0,4842.0,5474.0,5210.0,4619.0,4519.0,4705.0,3862.0
1309,營業利益,251.0,194.0,287.0,311.0,-103.0,181.0,140.0,-33.0
1309,營業外收入及支出,30.0,29.0,38.0,-6.0,35.0,-65.0,-3.0,-9.0
1309,稅後淨利,198.0,166.0,240.0,249.0,-62.0,98.0,115.0,-46.0
1309,每股盈餘,0.59,0.58,0.74,0.71,-0.2,0.28,0.31,-0.14
1310,營業收入淨額,4072.0,4004.0,3805.0,3845.0,3582.0,3519.0,3805.0,3494.0
1310,營業利益,494.0,425.0,259.0,435.0,100.0,489.0,560.0,403.0
1310,營業外收入及支出,-39.0,59.0,-116.0,7.0,37.0,36.0,-111.0,54.0
1310,稅後淨利,352.0,384.0,179.0,364.0,123.0,429.0,404.0,392.0
1310,每股盈餘,0.65,0.75,0.27,0.71,0.19,0.83,0.72,0.76
1312,營業收入淨額,5905.0,6387.0,6272.0,6114.0,5573.0,5393.0,5803.0,5006.0
1312,營業利益,718.0,778.0,768.0,806.0,276.0,634.0,803.0,516.0
1312,營業外收入及支出,550.0,423.0,544.0,684.0,176.0,295.0,346.0,225.0
1312,稅後淨利,840.0,1005.0,1144.0,1284.0,232.0,816.0,975.0,659.0
1312,每股盈餘,0.88,1.08,1.19,1.36,0.22,0.86,1.02,0.63
1313,營業收入淨額,16475.0,13570.0,14437.0,13082.0,12472.0,10610.0,13206.0,9898.0
1313,營業利益,429.0,484.0,689.0,732.0,136.0,438.0,921.0,100.0
1313,營業外收入及支出,-231.0,103.0,53.0,751.0,163.0,-28.0,-240.0,166.0
1313,稅後淨利,120.0,449.0,436.0,931.0,257.0,326.0,461.0,268.0
1313,每股盈餘,0.12,0.37,0.45,1.1,0.21,0.27,0.43,0.23
1314,營業收入淨額,9448.0,9494.0,8947.0,7888.0,7484.0,9017.0,6292.0,7603.0
1314,營業利益,912.0,804.0,1106.0,690.0,194.0,1594.0,17.0,-63.0
1314,營業外收入及支出,316.0,314.0,59.0,-54.0,2965.0,-256.0,-428.0,64.0
1314,稅後淨利,1199.0,1062.0,1266.0,1005.0,198.0,1654.0,-55.0,-35.0
1314,每股盈餘,0.45,0.41,0.48,0.27,1.28,0.57,-0.19,0.0
1315,營業收入淨額,604.0,575.0,580.0,693.0,671.0,684.0,656.0,852.0
1315,營業利益,-20.0,-11.0,-25.0,28.0,3.0,37.0,6.0,58.0
1315,營業外收入及支出,16.0,-15.0,-4.0,162.0,10.0,-44.0,98.0,127.0
1315,稅後淨利,-9.0,-9.0,-89.0,177.0,0.0,-10.0,17.0,165.0
1315,每股盈餘,-0.05,-0.04,-0.12,0.99,0.03,0.0,0.47,0.9
1319,營業收入淨額,5806.0,6245.0,6495.0,6053.0,5990.0,6026.0,6622.0,5830.0
1319,營業利益,401.0,592.0,639.0,520.0,630.0,711.0,757.0,655.0
1319,營業外收入及支出,256.0,104.0,165.0,204.0,201.0,-63.0,167.0,9.0
1319,稅後淨利,589.0,494.0,665.0,582.0,608.0,528.0,736.0,560.0
1319,每股盈餘,0.98,0.84,1.11,1.0,0.99,0.86,1.24,0.94
1321,營業收入淨額,1258.0,1194.0,1175.0,1173.0,1072.0,1063.0,1049.0,1177.0
1321,營業利益,-78.0,-12.0,-11.0,21.0,-38.0,-55.0,-3.0,26.0
1321,營業外收入及支出,5.0,54.0,5.0,67.0,15.0,-15.0,16.0,8.0
1321,稅後淨利,-31.0,-5.0,-61.0,89.0,-39.0,-69.0,-68.0,34.0
1321,每股盈餘,-0.33,0.18,-0.28,0.4,-0.18,-0.32,-0.3,0.15
1323,營業收入淨額,984.0,825.0,882.0,842.0,809.0,709.0,784.0,806.0
1323,營業利益,133.0,96.0,112.0,109.0,99.0,84.0,104.0,128.0
1323,營業外收入及支出,17.0,-1.0,3.0,12.0,-1.0,-12.0,-7.0,-1.0
1323,稅後淨利,99.0,71.0,88.0,96.0,73.0,56.0,80.0,105.0
1323,每股盈餘,0.94,0.67,0.77,0.84,0.64,0.51,0.71,0.95
1324,營業收入淨額,307.0,261.0,341.0,308.0,292.0,287.0,327.0,296.0
1324,營業利益,8.0,-7.0,2.0,-6.0,-13.0,1.0,17.0,12.0
1324,營業外收入及支出,6.0,0.0,0.0,2.0,0.0,102.0,2.0,0.0
1324,稅後淨利,6.0,-6.0,1.0,-2.0,-15.0,78.0,15.0,10.0
1324,每股盈餘,0.09,-0.07,0.01,-0.03,-0.2,1.02,0.2,0.14
1325,營業收入淨額,218.0,229.0,217.0,209.0,212.0,228.0,264.0,217.0
1325,營業利益,10.0,14.0,20.0,12.0,11.0,23.0,28.0,21.0
