,0
685,-0.7520523984322094
686,2.41
687,2.07
688,3.89
689,5.32
690,0.3104781360447497
691,2.24
692,2.71
693,2.82
694,7.63
695,0.7952960020020539
696,3.41
697,2.36
698,2.04
699,0.98
700,1.4999891431435597
701,6.04
702,7.19
703,9.45
704,10.07
705,-0.34265774472830257
706,0.4
707,1.04
708,1.26
709,0.68
710,1.237867674172322
711,2.04
712,0.33
713,-1.7
714,-1.49
715,0.2452217686362806
716,0.63
717,3.48
718,2.07
719,2.45
720,1.2542010519163298
721,1.77
722,1.88
723,1.96
724,0.88
725,4.32603928367408
726,0.67
727,1.65
728,1.0
729,1.25
730,4.449471322468043
731,1.97
732,1.33
733,0.45
734,0.64
735,14.161097641268002
736,1.04
737,0.23
738,-0.33
739,-0.02
740,2.8473497062211743
741,0.83
742,0.05
743,-0.97
744,0.04
745,1.4202868522986536
746,1.55
747,-2.15
748,0.03
749,-0.69
750,3.393326805903985
751,0.65
752,0.3
753,0.13
754,0.77
755,0.722711100899971
756,0.82
757,1.22
758,0.99
759,0.87
760,1.8765593468756625
761,1.31
762,0.84
763,0.14
764,0.74
765,0.4778404991053244
766,-0.58
767,0.11
768,1.01
769,-1.0
770,0.2974646944368409
771,0.81
772,0.6
773,0.39
774,0.35
775,1.260884843883471
776,0.35
777,0.22
778,0.45
779,-0.06
780,1.4682430914916174
781,-1.09
782,0.33
783,-0.61
784,3.68
785,2.2165885892681905
786,3.17
787,-0.81
788,-0.88
789,-0.33
790,0.36716419737124045
791,4.2
792,4.65
793,11.69
794,-9.76
795,1.8864847922579637
796,2.44
797,2.98
798,2.48
799,3.73
800,7.258404506885721
801,1.32
802,1.96
803,1.48
804,0.43
805,0.7925105496057234
806,2.01
807,-0.64
808,-0.14
809,0.13
810,1.0358715360861517
811,0.67
812,0.86
813,1.08
814,1.16
815,4.584536430659384
816,1.5
817,1.6
818,1.03
819,1.51
820,1.0728366576794317
821,0.48
822,0.65
823,0.46
824,0.61
825,3.717257696490957
826,0.34
827,0.42
828,0.37
829,-0.42
830,0.5954642865450476
831,1.65
832,2.38
833,2.81
834,2.26
835,0.25497116098187533
836,0.7
837,-0.18
838,0.48
839,0.97
840,1.3113263274035165
841,0.32
842,1.05
843,0.71
844,0.09
845,-0.3484641626629397
846,1.65
847,-0.07
848,2.48
849,3.13
850,0.5128836165526561
851,5.0
852,4.45
853,5.37
854,9.5
855,-0.11336932207611725
856,0.68
857,1.42
858,1.67
859,0.32
860,1.7556084047536715
861,1.19
862,1.15
863,1.11
864,0.94
865,1.1862211788914325
866,4.88
867,6.52
868,5.8
869,6.39
870,0.4052710249683455
871,0.84
872,0.88
873,0.9
874,1.05
875,6.641858783338728
876,3.13
877,3.04
878,2.73
879,2.14
880,0.5208000869427336
881,0.17
882,-0.57
883,-0.2
884,-0.24
885,0.5926953830962779
886,0.63
887,0.74
888,1.25
889,0.75
890,1.0213627384745187
891,5.86
892,5.23
893,4.08
894,3.5
895,0.5444985622827574
896,1.35
897,1.61
898,2.1
899,1.38
900,1.0115726273515244
901,2.46
902,0.57
903,
904,
905,0.0
906,0.33
907,0.97
908,1.24
909,1.1
910,-0.6274793516382676
911,3.1
912,3.68
913,3.94
914,2.03
915,0.8933954333157071
916,-1.21
917,-1.43
918,-6.38
919,-1.97
920,-0.2581551995191926
921,5.4
922,3.01
923,1.71
924,3.62
925,0.13776958728670505
926,4.26
927,3.18
928,2.27
929,1.63
930,3.2849060825334875
931,5.22
932,5.25
933,6.96
934,8.58
935,0.7000675531616322
936,-1.62
937,3.54
938,3.13
939,4.02
940,-0.2883913963440406
941,1.05
942,1.05
943,1.19
944,1.17
945,1.2438698395217753
946,10.03
947,9.82
948,8.07
949,7.24
950,0.5308724719703533
951,2.03
952,1.9
953,1.95
954,2.09
955,3.599208633809249
956,0.65
957,0.68
958,0.6
959,0.61
960,1.4463419662184867
961,0.86
962,0.03
963,2.66
964,2.77
965,2.8171929379194873
966,0.22
967,0.1
968,0.09
969,1.01
970,1.6077468930255079
971,0.43
972,2.36
973,1.85
974,8.73
975,1.7400932869361514
976,1.33
977,1.45
978,1.3
