,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1305,投資活動之現金流量,-118.0,-138.0,-205.0,-244.0,-480.0,-87.0,-168.0,-213.0
1305,籌資活動之現金流量,0.0,1.0,-1.0,-867.0,-489.0,27.0,59.0,-690.0
1305,本期產生現金流量,277.0,170.0,-40.0,-249.0,-454.0,-3.0,467.0,-437.0
1307,來自營運之現金流量,-58.0,-62.0,331.0,268.0,495.0,76.0,774.0,405.0
1307,投資活動之現金流量,-87.0,-156.0,-391.0,-249.0,106.0,-697.0,162.0,-445.0
1307,籌資活動之現金流量,65.0,130.0,-570.0,-272.0,91.0,-245.0,-124.0,-29.0
1307,本期產生現金流量,114.0,-183.0,-732.0,-272.0,715.0,-1189.0,942.0,-211.0
1308,來自營運之現金流量,269.0,15.0,617.0,800.0,-225.0,-229.0,290.0,65.0
1308,投資活動之現金流量,-43.0,-19.0,-17.0,-496.0,-79.0,-760.0,-9.0,-33.0
1308,籌資活動之現金流量,3.0,0.0,0.0,-300.0,0.0,0.0,0.0,-338.0
1308,本期產生現金流量,234.0,-5.0,602.0,0.0,-301.0,-1001.0,283.0,-325.0
1309,來自營運之現金流量,72.0,-315.0,576.0,-182.0,571.0,-545.0,329.0,224.0
1309,投資活動之現金流量,-22.0,-31.0,-61.0,178.0,-211.0,-28.0,-59.0,-34.0
1309,籌資活動之現金流量,-98.0,615.0,-317.0,-86.0,-478.0,482.0,-267.0,-244.0
1309,本期產生現金流量,-43.0,271.0,199.0,-88.0,-116.0,-96.0,2.0,-66.0
1310,來自營運之現金流量,433.0,297.0,118.0,875.0,58.0,-661.0,185.0,554.0
1310,投資活動之現金流量,-40.0,-39.0,-47.0,61.0,36.0,-177.0,-37.0,1.0
1310,籌資活動之現金流量,-329.0,-88.0,-58.0,-1285.0,-35.0,-52.0,-88.0,-1231.0
1310,本期產生現金流量,65.0,171.0,13.0,-347.0,60.0,-895.0,60.0,-680.0
1312,來自營運之現金流量,992.0,643.0,1242.0,1163.0,356.0,1250.0,1313.0,681.0
1312,投資活動之現金流量,-461.0,-281.0,-556.0,-228.0,-355.0,-758.0,-682.0,-355.0
1312,籌資活動之現金流量,148.0,-44.0,57.0,-910.0,1.0,-109.0,-642.0,-239.0
1312,本期產生現金流量,732.0,384.0,730.0,23.0,11.0,293.0,12.0,48.0
1313,來自營運之現金流量,2069.0,-1846.0,462.0,348.0,1597.0,-1132.0,293.0,419.0
1313,投資活動之現金流量,-546.0,-777.0,-1000.0,-332.0,-733.0,-709.0,-791.0,-879.0
1313,籌資活動之現金流量,-1390.0,1839.0,1034.0,836.0,151.0,1633.0,-290.0,793.0
1313,本期產生現金流量,316.0,-757.0,575.0,947.0,1200.0,-855.0,-696.0,-41.0
1314,來自營運之現金流量,1613.0,641.0,1048.0,1112.0,921.0,422.0,2471.0,-1571.0
1314,投資活動之現金流量,-300.0,-769.0,-1226.0,-1091.0,2473.0,65.0,-759.0,-605.0
1314,籌資活動之現金流量,-331.0,710.0,-1043.0,-798.0,-319.0,-1093.0,-140.0,1419.0
1314,本期產生現金流量,960.0,610.0,-1236.0,-758.0,3102.0,-675.0,1586.0,-824.0
1315,來自營運之現金流量,-92.0,-111.0,-95.0,319.0,-120.0,68.0,-32.0,258.0
1315,投資活動之現金流量,-69.0,21.0,96.0,34.0,-56.0,-20.0,77.0,-39.0
1315,籌資活動之現金流量,25.0,18.0,-23.0,-254.0,82.0,17.0,-160.0,-113.0
1315,本期產生現金流量,-128.0,-69.0,-21.0,97.0,-93.0,61.0,-96.0,102.0
1319,來自營運之現金流量,1181.0,796.0,1616.0,1293.0,975.0,1460.0,1553.0,1384.0
1319,投資活動之現金流量,-726.0,-1064.0,-1124.0,-931.0,-1219.0,-1002.0,-1069.0,-1016.0
1319,籌資活動之現金流量,-382.0,50.0,-686.0,-267.0,124.0,-525.0,-265.0,-775.0
1319,本期產生現金流量,78.0,-246.0,-182.0,103.0,-105.0,-84.0,206.0,-401.0
1321,來自營運之現金流量,10.0,45.0,17.0,103.0,-34.0,-52.0,138.0,101.0
1321,投資活動之現金流量,-25.0,-23.0,2.0,-39.0,-88.0,-68.0,-99.0,-98.0
1321,籌資活動之現金流量,103.0,45.0,27.0,-95.0,147.0,101.0,-21.0,17.0
1321,本期產生現金流量,83.0,73.0,48.0,-24.0,33.0,-38.0,18.0,6.0
1323,來自營運之現金流量,82.0,27.0,124.0,92.0,41.0,93.0,143.0,103.0
1323,投資活動之現金流量,-107.0,-15.0,-247.0,29.0,42.0,-107.0,-36.0,10.0
1323,籌資活動之現金流量,156.0,0.0,0.0,-157.0,-62.0,-5.0,2.0,-90.0
1323,本期產生現金流量,128.0,20.0,-107.0,-30.0,34.0,-59.0,111.0,23.0
1324,來自營運之現金流量,-12.0,16.0,38.0,-8.0,26.0,65.0,49.0,2.0
1324,投資活動之現金流量,-10.0,-25.0,44.0,-93.0,83.0,-113.0,-2.0,-2.0
